"filename", "language", "TypeScript", "JSON", "HTML", "PostCSS", "SCSS", "JSON with Comments", "JavaScript", "Markdown", "comment", "blank", "total"
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/feed/feed.module.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/feed/feed/feed.component.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/feed/feed/feed.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/feed/feed/feed.component.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/feed/posts/posts.component.html", "HTML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/feed/posts/posts.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/feed/posts/posts.component.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/login/login-form/login-form.module.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/login/login-form/login-form/login-form.component.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/login/login-form/login-form/login-form.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/login/login-form/login-form/login-form.component.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 25, 6, 76
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/login/login.module.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/login/login/login.component.html", "HTML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/login/login/login.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/login/login/login.component.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/filtered-profiles/filtered-profiles.component.html", "HTML", 0, 0, 64, 0, 0, 0, 0, 0, 8, 7, 79
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/filtered-profiles/filtered-profiles.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/filtered-profiles/filtered-profiles.component.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 1, 12, 88
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/filtered-profiles/filtered-profiles.observers.component.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 1, 11, 95
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/filters/filters.component.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 38
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/filters/filters.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/filters/filters.component.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 10, 100
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/profile-search-body/profile-search-body.component.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/profile-search-body/profile-search-body.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/profile-search-body/profile-search-body.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/profile-search.module.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/profile-search/profile-search.component.html", "HTML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/profile-search/profile-search.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile-search/profile-search/profile-search.component.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-barleft/myprofile-barleft-item/myprofile-barleft-item.component.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-barleft/myprofile-barleft-item/myprofile-barleft-item.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-barleft/myprofile-barleft-item/myprofile-barleft-item.component.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-barleft/myprofile-barleft.module.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
